n1,alc,alcc
1,3,green
2,2,purple
3,2,purple
4,2,purple
5,3,green
6,4,yellow
7,4,yellow
8,4,yellow
9,2,purple
10,4,yellow
11,5,red
12,5,red
13,3,green
14,3,green
15,4,yellow
16,4,yellow
17,2,purple
18,4,yellow
19,3,green
20,2,purple
21,1,blue
22,3,green
23,4,yellow
24,3,green
25,3,green
26,4,yellow
27,2,purple
28,2,purple
29,3,green
30,1,blue
31,4,yellow
32,4,yellow
33,3,green
34,2,purple
35,3,green
36,4,yellow
37,2,purple
38,3,green
39,2,purple
40,1,blue
41,4,yellow
42,4,yellow
43,2,purple
44,5,red
45,2,purple
46,2,purple
47,2,purple
48,2,purple
49,1,blue
50,1,blue
