nodes,smoke,smokec
1,2,purple
2,3,green
3,1,blue
4,1,blue
5,1,blue
6,1,blue
7,1,blue
8,3,green
9,1,blue
10,1,blue
11,3,green
12,3,green
13,1,blue
14,1,blue
15,2,purple
16,2,purple
17,1,blue
18,1,blue
19,1,blue
20,1,blue
21,1,blue
22,1,blue
23,3,green
24,1,blue
25,1,blue
26,3,green
27,1,blue
28,1,blue
29,1,blue
30,1,blue
31,1,blue
32,1,blue
33,1,blue
34,1,blue
35,1,blue
36,1,blue
37,1,blue
38,1,blue
39,1,blue
40,1,blue
41,2,purple
42,3,green
43,1,blue
44,2,purple
45,1,blue
46,1,blue
47,1,blue
48,1,blue
49,1,blue
50,1,blue
