nodes,sports,sportsc
1,2,purple
2,1,blue
3,1,blue
4,2,purple
5,2,purple
6,2,purple
7,1,blue
8,2,purple
9,2,purple
10,2,purple
11,2,purple
12,2,purple
13,1,blue
14,1,blue
15,2,purple
16,2,purple
17,1,blue
18,1,blue
19,2,purple
20,2,purple
21,2,purple
22,1,blue
23,2,purple
24,2,purple
25,2,purple
26,2,purple
27,2,purple
28,2,purple
29,2,purple
30,2,purple
31,2,purple
32,2,purple
33,2,purple
34,2,purple
35,2,purple
36,2,purple
37,2,purple
38,2,purple
39,2,purple
40,2,purple
41,2,purple
42,1,blue
43,2,purple
44,1,blue
45,2,purple
46,1,blue
47,1,blue
48,2,purple
49,1,blue
50,2,purple
